Model,Test,Train,AUC,MCC
SVC,BdisT,BdisT,0.7789093091909182 +/- 0.01036274517394298,0.7789093091909182 +/- 0.01036274517394298
SVC,BdisT,BdisT_Bal,0.7597508993838265 +/- 0,0.7597508993838265 +/- 0
SVC,BdisT,Osat,0.6949355327151253 +/- 0,0.6949355327151253 +/- 0
SVC,BdisT,Osat_Bal,0.6959626203698892 +/- 0,0.6959626203698892 +/- 0
SVC,BdisT_Bal,Bdis,0.7586432086002435 +/- 0,0.7586432086002435 +/- 0
SVC,BdisT_Bal,Bdis_Bal,0.7580561709581051 +/- 0,0.7580561709581051 +/- 0
SVC,BdisT_Bal,BdisA,0.7611103800217348 +/- 0,0.7611103800217348 +/- 0
SVC,BdisT_Bal,BdisA_Bal,0.7645316820455741 +/- 0,0.7645316820455741 +/- 0
SVC,BdisT_Bal,BdisT,0.7824110706262883 +/- 0,0.7824110706262883 +/- 0
SVC,BdisT_Bal,BdisT_Bal,0.7813144576674962 +/- 0.011283852651008511,0.7813144576674962 +/- 0.011283852651008511
SVC,BdisT_Bal,Osat,0.6939080642512374 +/- 0,0.6939080642512374 +/- 0
SVC,BdisT_Bal,Osat_Bal,0.6957927800340042 +/- 0,0.6957927800340042 +/- 0
SVC,Osat,Bdis,0.7601839766348312 +/- 0,0.7601839766348312 +/- 0
SVC,Osat,Bdis_Bal,0.7588069079483775 +/- 0,0.7588069079483775 +/- 0
SVC,Osat,BdisA,0.7543249429011812 +/- 0,0.7543249429011812 +/- 0
SVC,Osat,BdisA_Bal,0.7514364281231272 +/- 0,0.7514364281231272 +/- 0
SVC,Osat,BdisT,0.7149626682934187 +/- 0,0.7149626682934187 +/- 0
SVC,Osat,BdisT_Bal,0.7144180606326943 +/- 0,0.7144180606326943 +/- 0
SVC,Osat,Osat,0.7495138269145876 +/- 0.023739328021458988,0.7495138269145876 +/- 0.023739328021458988
SVC,Osat,Osat_Bal,0.7440643909863756 +/- 0,0.7440643909863756 +/- 0
SVC,Osat_Bal,Bdis,0.767193082578574 +/- 0,0.767193082578574 +/- 0
SVC,Osat_Bal,Bdis_Bal,0.7667756239278483 +/- 0,0.7667756239278483 +/- 0
SVC,Osat_Bal,BdisA,0.7601151061453157 +/- 0,0.7601151061453157 +/- 0
SVC,Osat_Bal,BdisA_Bal,0.7573738915056881 +/- 0,0.7573738915056881 +/- 0
SVC,Osat_Bal,BdisT,0.7166685288700554 +/- 0,0.7166685288700554 +/- 0
SVC,Osat_Bal,BdisT_Bal,0.715814493472086 +/- 0,0.715814493472086 +/- 0
SVC,Osat_Bal,Osat,0.7585686321083108 +/- 0,0.7585686321083108 +/- 0
SVC,Osat_Bal,Osat_Bal,0.7502571897111123 +/- 0.01892197911838767,0.7502571897111123 +/- 0.01892197911838767
